Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.14     0.00   119994     0.00     0.00  __gnu_cxx::new_allocator<Edge>::allocate(unsigned long, void const*)
  0.00      0.14     0.00   119994     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_M_check_len(unsigned long, char const*) const
  0.00      0.14     0.00   119994     0.00     0.00  std::vector<long long, std::allocator<long long> >::operator[](unsigned long) const
  0.00      0.14     0.00   119994     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_allocate(unsigned long)
  0.00      0.14     0.00   119994     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::deallocate(std::allocator<Edge>&, Edge*, unsigned long)
  0.00      0.14     0.00   119994     0.00     0.00  std::allocator_traits<std::allocator<Edge> >::allocate(std::allocator<Edge>&, unsigned long)
  0.00      0.14     0.00   119994     0.00     0.00  void std::vector<Edge, std::allocator<Edge> >::_M_realloc_insert<int const&, int const&>(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, int const&, int const&)
  0.00      0.14     0.00   119991     0.00     0.00  std::remove_reference<std::greater<void>&>::type&& std::move<std::greater<void>&>(std::greater<void>&)
  0.00      0.14     0.00    98300     0.00     0.00  std::pair<long long, int>&& std::forward<std::pair<long long, int> >(std::remove_reference<std::pair<long long, int> >::type&)
  0.00      0.14     0.00    96690     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_val<std::greater<void> >::operator()<__gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >, std::pair<long long, int> >(__gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >, std::pair<long long, int>&)
  0.00      0.14     0.00    89148     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<long long, int> >::destroy<std::pair<long long, int> >(std::pair<long long, int>*)
  0.00      0.14     0.00    89148     0.00     0.00  void std::allocator_traits<std::allocator<std::pair<long long, int> > >::destroy<std::pair<long long, int> >(std::allocator<std::pair<long long, int> >&, std::pair<long long, int>*)
  0.00      0.14     0.00    81255     0.00     0.00  std::__detail::_Hash_node<int, false>::_M_next() const
  0.00      0.14     0.00    80027     0.00     0.00  std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > >::begin()
  0.00      0.14     0.00    80018     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator()
